Non Manufacturers,,,,,Latest,Latest,Latest,Total,,Total,,Retained,Total Equity,,Latest,Latest,Previous,,Latest,Latest,Previous,,Latest,Latest,,,,,,,Working Cap/,Ret. Earnings/,EBIT/,Book Value of Equity/,,,,,,,
NFLX,NETFLIX INC,Services,Media, 1.74 , Medium ,2020-06-30,2,2020," 8,564.1 "," 37,175.3 "," 7,626.4 "," 27,840.5 "," 6,241.0 "," 9,334.8 ", 937.7 ," 20,156.4 "," 11,916.0 "," 9,444.1 "," 22,628.3 "," 2,604.3 "," 2,316.2 "," 1,165.5 "," 3,754.9 ", 453.2 ,485.8," 220,174.28 "," 9,335 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.025 , 0.168 , 0.101 , 0.335 , 0.17 , 0.55 , 0.68 , 0.35 , 1.74 , Medium 
VIAC,VIACOMCBS INC.,Services,Media, 1.70 , Medium ,2020-03-31,1,2020," 10,406.0 "," 49,045.0 "," 8,531.0 "," 35,254.0 "," 8,827.0 "," 13,449.0 "," 1,875.0 "," 27,812.0 "," 6,669.0 "," 7,100.0 "," 27,381.0 "," 3,724.0 ", 917.0 ," 1,255.0 "," 3,386.0 ", 616.0 ,25.81," 15,898.96 "," 13,521 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.038 , 0.180 , 0.069 , 0.384 , 0.25 , 0.59 , 0.46 , 0.40 , 1.70 , Medium 
LOW,LOWES COMPANIES INC,Trade,Retail, 1.69 , Medium ,2020-05-01,1,2021," 21,926.0 "," 45,832.0 "," 18,325.0 "," 44,116.0 "," 1,722.0 "," 1,716.0 "," 3,601.0 "," 72,148.0 "," 19,675.0 "," 17,741.0 "," 74,082.0 "," 6,314.0 "," 1,991.0 "," 1,417.0 "," 6,888.0 ", 756.0 ,149.2," 112,795.20 "," 1,716 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.079 , 0.038 , 0.150 , 0.039 , 0.52 , 0.12 , 1.01 , 0.04 , 1.69 , Medium 
WMT,WALMART INC.,Trade,Retail, 1.68 , Medium ,2020-04-30,1,2021," 63,328.0 "," 232,892.0 "," 82,647.0 "," 158,782.0 "," 81,141.0 "," 68,240.0 "," (19,319.0)"," 523,964.0 "," 134,622.0 "," 123,925.0 "," 534,661.0 "," 20,568.0 "," 5,224.0 "," 4,945.0 "," 20,847.0 "," 2,849.0 ",130.12," 370,711.88 "," 74,110 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.083), 0.348 , 0.090 , 0.467 , (0.54), 1.14 , 0.60 , 0.49 , 1.68 , Medium 
FISV,FISERV INC,Services,Business Services, 1.67 , Medium ,2020-03-31,1,2020," 12,933.0 "," 72,598.0 "," 12,119.0 "," 39,052.0 "," 12,875.0 "," 31,843.0 ", 814.0 ," 10,187.0 "," 3,769.0 "," 1,502.0 "," 12,454.0 "," 1,594.0 ", 198.0 , 363.0 ," 1,429.0 ", 691.2 ,100.45," 69,431.04 "," 33,287 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.011 , 0.177 , 0.020 , 0.852 , 0.07 , 0.58 , 0.13 , 0.89 , 1.67 , Medium 
UHS,UNIVERSAL HEALTH SERVICES INC,Services,Healthcare Services, 1.66 , Medium ,2020-03-31,1,2020," 1,834.3 "," 11,620.4 "," 1,690.0 "," 6,131.4 ", -   ," 5,413.2 ", 144.4 ," 11,378.3 "," 2,829.7 "," 2,804.4 "," 11,403.5 "," 1,215.9 ", 236.7 , 340.4 ," 1,112.2 ", 86.5 ,112.07," 9,689.01 "," 5,485 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.012 , -   , 0.096 , 0.895 , 0.08 , -   , 0.64 , 0.93 , 1.66 , Medium 
DRE,DUKE REALTY CORP,Financial,REITs, 1.55 , Medium ,2020-06-30,2,2020, 100.5 ," 8,567.0 ", -   ," 3,509.6 ", (590.4)," 4,987.8 ", 100.5 , 973.8 , 464.9 , 502.0 , 936.7 , 253.5 , 117.0 , 121.7 , 248.8 , 372.2 ,39.97," 14,876.71 "," 5,057 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.012 , (0.069), 0.029 , 1.441 , 0.08 , (0.22), 0.20 , 1.50 , 1.55 , Medium 
ATO,ATMOS ENERGY CORP,Utilities,Infrastructure, 1.64 , Medium ,2020-03-31,2,2020, 829.6 ," 14,716.4 ", 933.4 ," 8,412.0 "," 2,430.3 "," 6,304.4 ", (103.8)," 2,901.8 "," 1,853.2 "," 1,972.4 "," 2,782.6 ", 746.1 , 584.2 , 534.1 , 796.1 , 122.2 ,105.42," 12,880.11 "," 6,304 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.007), 0.165 , 0.054 , 0.749 , (0.05), 0.54 , 0.36 , 0.78 , 1.64 , Medium 
UNH,UNITEDHEALTH GROUP INC,Financial,Insurance, 1.63 , Medium ,2018-06-30,2,2018," 46,634.0 "," 154,611.0 "," 62,052.0 "," 101,989.0 "," 52,363.0 "," 48,293.0 "," (15,418.0)"," 200,136.0 "," 110,621.0 "," 98,298.0 "," 212,459.0 "," 14,186.0 "," 7,604.0 "," 6,666.0 "," 15,124.0 ", 984.0 ,305.23," 300,346.32 "," 50,783 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.100), 0.339 , 0.098 , 0.498 , (0.65), 1.10 , 0.66 , 0.52 , 1.63 , Medium 
OMC,OMNICOM GROUP INC.,Services,Media, 1.62 , Medium ,2020-06-30,2,2020," 10,893.1 "," 22,641.1 "," 11,330.9 "," 19,599.9 "," 7,759.3 "," 2,413.0 ", (437.8)," 14,953.7 "," 6,207.6 "," 7,188.7 "," 13,972.6 "," 2,122.3 ", 482.7 ," 1,002.6 "," 1,602.4 ", 216.5 ,53.26," 11,530.79 "," 2,861 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.019), 0.343 , 0.071 , 0.146 , (0.13), 1.12 , 0.48 , 0.15 , 1.62 , Medium 
KMX,CARMAX INC,Trade,Retail, 1.61 , Medium ,2020-05-31,1,2021," 3,283.7 "," 19,972.5 "," 1,151.0 "," 16,394.2 "," 2,303.9 "," 3,578.3 "," 2,132.7 "," 20,776.0 "," 3,279.7 "," 5,482.3 "," 18,573.5 "," 1,238.3 ", 31.4 , 368.7 , 901.0 , 163.5 ,98.33," 16,080.59 "," 3,578 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.107 , 0.115 , 0.045 , 0.218 , 0.70 , 0.38 , 0.30 , 0.23 , 1.61 , Medium 
FANG,"DIAMONDBACK ENERGY, INC.",Resources,Energy, 1.58 , Medium ,2020-03-31,1,2020," 1,268.0 "," 23,386.0 "," 1,330.0 "," 9,070.0 ", 559.0 ," 12,826.0 ", (62.0)," 3,964.0 ", 899.0 , 864.0 ," 3,999.0 ", 695.0 , (802.0), 319.0 , (426.0), 158.5 ,39.51," 6,262.10 "," 14,316 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.003), 0.024 , (0.018), 1.578 , (0.02), 0.08 , (0.12), 1.64 , 1.58 , Medium 
CMCSA,COMCAST CORP,Services,Media, 1.63 , Medium ,2020-06-30,2,2020," 27,485.0 "," 265,978.0 "," 28,445.0 "," 179,931.0 "," 53,420.0 "," 83,614.0 ", (960.0)," 108,942.0 "," 50,324.0 "," 53,717.0 "," 105,549.0 "," 21,125.0 "," 9,499.0 "," 10,538.0 "," 20,086.0 "," 4,611.0 ",43.67," 201,362.37 "," 84,791 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.004), 0.201 , 0.076 , 0.471 , (0.02), 0.65 , 0.51 , 0.49 , 1.63 , Medium 
AMZN,AMAZON COM INC,Trade,Retail, 1.78 , Medium ,2020-06-30,2,2020," 110,908.0 "," 258,314.0 "," 93,896.0 "," 184,586.0 "," 38,998.0 "," 73,728.0 "," 17,012.0 "," 280,522.0 "," 164,364.0 "," 123,104.0 "," 321,782.0 "," 14,541.0 "," 9,832.0 "," 7,504.0 "," 16,869.0 ", 508.0 ,3051.88," 1,550,355.04 "," 73,728 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.066 , 0.151 , 0.065 , 0.399 , 0.43 , 0.49 , 0.44 , 0.42 , 1.78 , Medium 
VZ,VERIZON COMMUNICATIONS INC,Utilities,Telecommunications, 1.55 , Medium ,2020-06-30,2,2020," 37,333.0 "," 293,259.0 "," 38,886.0 "," 229,146.0 "," 56,746.0 "," 62,697.0 "," (1,553.0)"," 131,868.0 "," 62,057.0 "," 64,199.0 "," 129,726.0 "," 30,378.0 "," 13,940.0 "," 15,559.0 "," 28,759.0 "," 4,141.0 ",57.3," 237,279.30 "," 64,113 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.005), 0.194 , 0.098 , 0.280 , (0.03), 0.63 , 0.66 , 0.29 , 1.55 , Medium 
DVN,DEVON ENERGY CORP/DE,Resources,Energy, 1.55 , Medium ,2020-03-31,1,2020," 4,055.0 "," 11,144.0 "," 1,554.0 "," 7,104.0 "," 1,298.0 "," 3,919.0 "," 2,501.0 "," 6,220.0 "," 2,087.0 "," 1,079.0 "," 7,228.0 ", 97.0 ," (2,090.0)", (504.0)," (1,489.0)", 377.0 ,10.34," 3,898.18 "," 4,040 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.224 , 0.116 , (0.134), 0.569 , 1.47 , 0.38 , (0.90), 0.59 , 1.55 , Medium 
DISH,DISH NETWORK CORP,Services,Media, 1.53 , Medium ,2020-03-31,1,2020," 4,642.3 "," 33,673.3 "," 4,631.0 "," 21,435.7 "," 6,685.4 "," 11,659.8 ", 11.3 ," 12,807.7 "," 3,217.4 "," 3,187.1 "," 12,837.9 "," 1,878.9 ", 144.1 , 456.3 ," 1,566.7 ", 581.4 ,32.84," 19,092.55 "," 11,660 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.000 , 0.199 , 0.047 , 0.544 , 0.00 , 0.65 , 0.31 , 0.57 , 1.53 , Medium 
WY,WEYERHAEUSER CO,Financial,REITs, 1.44 , Medium ,2020-03-31,1,2020," 2,493.0 "," 17,228.0 "," 1,816.0 "," 9,146.0 ", (109.0)," 8,082.0 ", 677.0 ," 6,554.0 "," 1,728.0 "," 1,643.0 "," 6,639.0 ", 651.0 , 240.0 , 174.0 , 717.0 , 747.2 ,28.4," 21,219.20 "," 8,082 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.039 , (0.006), 0.042 , 0.884 , 0.26 , (0.02), 0.28 , 0.92 , 1.44 , Medium 
ALK,"ALASKA AIR GROUP, INC.",Services,Transportation, 1.42 , Medium ,2020-03-31,1,2020," 2,572.0 "," 13,363.0 "," 3,730.0 "," 9,348.0 "," 4,856.0 "," 4,015.0 "," (1,158.0)"," 8,781.0 "," 1,636.0 "," 1,876.0 "," 8,541.0 "," 1,063.0 ", (321.0), 25.0 , 717.0 , 124.1 ,34.66," 4,302.10 "," 4,015 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.087), 0.363 , 0.054 , 0.430 , (0.57), 1.18 , 0.36 , 0.45 , 1.42 , Medium 
PEG,PUBLIC SERVICE ENTERPRISE GROUP INC,Utilities,Infrastructure, 1.42 , Medium ,2020-03-31,1,2020," 3,727.0 "," 48,365.0 "," 5,160.0 "," 33,116.0 "," 11,604.0 "," 15,249.0 "," (1,433.0)"," 10,076.0 "," 2,781.0 "," 2,980.0 "," 9,877.0 "," 2,522.0 ", 859.0 , 819.0 ," 2,562.0 ", 507.0 ,52.39," 26,561.73 "," 15,249 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.030), 0.240 , 0.053 , 0.460 , (0.19), 0.78 , 0.36 , 0.48 , 1.42 , Medium 
HCA,"HCA HEALTHCARE, INC.",Services,Healthcare Services, 1.07 , High ,2020-06-30,2,2020," 14,031.0 "," 48,709.0 "," 12,856.0 "," 48,141.0 "," (1,315.0)"," (1,786.0)"," 1,175.0 "," 51,336.0 "," 23,929.0 "," 25,119.0 "," 50,146.0 "," 7,218.0 "," 3,493.0 "," 3,560.0 "," 7,151.0 ", 342.8 ,128.05," 43,901.69 ", 568 , 6.56 , 3.26 , 6.72 , 1.04 , 0.024 , (0.027), 0.147 , 0.012 , 0.16 , (0.09), 0.99 , 0.01 , 1.07 , High 
FTNT,"FORTINET, INC.",Services,Technology Services, 1.40 , Medium ,2020-03-31,1,2020," 2,035.3 "," 3,206.2 "," 1,543.0 "," 2,669.9 ", (589.2), 536.3 , 492.3 ," 2,156.2 ", 576.9 , 472.6 ," 2,260.5 ", 344.2 , 79.1 , 50.6 , 372.7 , 174.2 ,136.75," 23,821.85 ", 536 , 6.56 , 3.26 , 6.72 , 1.04 , 0.154 , (0.184), 0.116 , 0.201 , 1.01 , (0.60), 0.78 , 0.21 , 1.40 , Medium 
CVS,CVS HEALTH CORP,Trade,Retail, 1.40 , Medium ,2020-03-31,1,2020," 58,958.0 "," 230,639.0 "," 59,560.0 "," 165,165.0 "," 46,455.0 "," 65,140.0 ", (602.0)," 255,765.0 "," 66,593.0 "," 61,397.0 "," 260,961.0 "," 10,976.0 "," 3,296.0 "," 2,441.0 "," 11,831.0 "," 1,312.0 ",64," 83,968.00 "," 65,474 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.003), 0.201 , 0.051 , 0.396 , (0.02), 0.66 , 0.34 , 0.41 , 1.40 , Medium 
TGT,TARGET CORP,Trade,Retail, 1.39 , Medium ,2020-05-02,1,2021," 14,615.0 "," 44,806.0 "," 14,412.0 "," 33,637.0 "," 5,775.0 "," 11,169.0 ", 203.0 ," 78,112.0 "," 19,615.0 "," 17,627.0 "," 80,100.0 "," 4,658.0 ", 468.0 ," 1,135.0 "," 3,991.0 ", 505.8 ,124.58," 63,012.56 "," 11,169 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.005 , 0.129 , 0.089 , 0.332 , 0.03 , 0.42 , 0.60 , 0.35 , 1.39 , Medium 
EQR,EQUITY RESIDENTIAL,Financial,REITs, 1.39 , Medium ,2020-03-31,1,2020, 140.8 ," 20,919.3 "," 1,010.5 "," 9,795.3 "," 1,469.8 "," 10,530.4 ", (869.8)," 2,701.1 ", 682.3 , 662.5 ," 2,720.9 ", 908.9 , 214.1 , 210.0 , 913.0 , 386.9 ,53.95," 20,875.90 "," 10,771 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.042), 0.070 , 0.044 , 1.100 , (0.27), 0.23 , 0.29 , 1.14 , 1.39 , Medium 
NOV,NATIONAL OILWELL VARCO INC,Resources,Energy, 1.35 , Medium ,2020-06-30,2,2020," 5,590.0 "," 10,447.0 "," 1,954.0 "," 4,914.0 "," (1,474.0)"," 5,460.0 "," 3,636.0 "," 8,479.0 "," 3,379.0 "," 4,072.0 "," 7,786.0 "," (6,279.0)"," (2,050.0)"," (5,776.0)"," (2,553.0)", 384.0 ,11.51," 4,419.84 "," 5,533 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.348 , (0.141), (0.244), 1.126 , 2.28 , (0.46), (1.64), 1.17 , 1.35 , Medium 
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Financial,REITs, 1.33 , Medium ,2020-06-30,2,2020," 1,212.0 "," 20,069.1 "," 1,476.9 "," 9,000.1 ", -   ," 9,431.4 ", (264.9)," 1,531.3 ", 876.9 , 732.7 ," 1,675.5 ", 420.0 , 201.4 , 205.9 , 415.5 , 123.1 ,176.13," 21,684.60 "," 11,057 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.013), -   , 0.021 , 1.229 , (0.09), -   , 0.14 , 1.28 , 1.33 , Medium 
CCL,CARNIVAL CORP,Services,Hospitality, 1.31 , Medium ,2020-05-31,2,2020," 8,222.0 "," 49,817.0 "," 11,858.0 "," 28,976.0 "," 21,155.0 "," 20,841.0 "," (3,636.0)"," 20,825.0 "," 5,529.0 "," 9,511.0 "," 16,843.0 "," 3,276.0 "," (4,892.0)", 901.0 ," (2,517.0)", 702.0 ,14.34," 10,066.68 "," 20,841 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.073), 0.425 , (0.051), 0.719 , (0.48), 1.38 , (0.34), 0.75 , 1.31 , Medium 
IVZ,INVESCO LTD.,Financial,Financial Services, 1.49 , Medium ,2020-06-30,2,2020," 10,581.3 "," 35,579.1 "," 10,593.4 "," 21,408.6 "," 5,825.0 "," 13,602.0 ", (12.1)," 6,117.4 "," 3,017.9 "," 2,654.0 "," 6,481.3 "," 1,481.2 ", 581.3 , 569.5 ," 1,493.0 ", 461.0 ,10.1," 4,656.10 "," 13,968 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.000), 0.164 , 0.042 , 0.652 , (0.00), 0.53 , 0.28 , 0.68 , 1.49 , Medium 
LVS,LAS VEGAS SANDS CORP,Services,Hospitality, 1.28 , Medium ,2020-06-30,2,2020," 3,772.0 "," 21,695.0 "," 2,375.0 "," 17,170.0 "," 1,677.0 "," 3,720.0 "," 1,397.0 "," 13,739.0 "," 1,880.0 "," 6,980.0 "," 8,639.0 "," 3,788.0 ", (857.0)," 1,872.0 "," 1,059.0 ", 764.0 ,45.5," 34,762.00 "," 4,525 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.064 , 0.077 , 0.049 , 0.264 , 0.42 , 0.25 , 0.33 , 0.27 , 1.28 , Medium 
CNC,CENTENE CORP,Financial,Insurance, 1.27 , Medium ,2018-03-31,1,2018," 10,976.0 "," 25,170.0 "," 10,890.0 "," 17,582.0 "," 3,104.0 "," 7,503.0 ", 86.0 ," 48,382.0 "," 13,194.0 "," 11,724.0 "," 49,852.0 "," 1,199.0 ", 540.0 , 240.0 ," 1,499.0 ", 177.7 ,66.81," 11,871.47 "," 7,580 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.003 , 0.123 , 0.060 , 0.431 , 0.02 , 0.40 , 0.40 , 0.45 , 1.27 , Medium 
SLG,SL GREEN REALTY CORP,Financial,REITs, 1.26 , Medium ,2020-03-31,1,2020," 1,071.2 "," 13,220.6 ", 751.2 ," 7,251.7 "," 1,099.4 "," 5,263.5 ", 320.0 , 983.6 , 222.6 , 240.1 , 966.1 , 151.0 , 15.6 , 33.1 , 133.5 , 82.6 ,47.31," 3,906.24 "," 5,344 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.024 , 0.083 , 0.010 , 0.737 , 0.16 , 0.27 , 0.07 , 0.77 , 1.26 , Medium 
EQIX,EQUINIX INC,Financial,REITs, 1.26 , Medium ,2020-03-31,1,2020," 2,320.1 "," 23,590.7 "," 1,838.5 "," 14,921.4 "," 1,509.3 "," 8,669.4 ", 481.6 ," 5,562.1 "," 1,444.5 "," 1,363.2 "," 5,643.5 "," 1,125.3 ", 254.7 , 279.5 ," 1,100.5 ", 86.1 ,777.95," 67,015.72 "," 8,669 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.020 , 0.064 , 0.047 , 0.581 , 0.13 , 0.21 , 0.31 , 0.60 , 1.26 , Medium 
NEE,NEXTERA ENERGY INC,Utilities,Infrastructure, 1.26 , Medium ,2020-06-30,2,2020," 7,581.0 "," 121,961.0 "," 12,365.0 "," 80,096.0 "," 25,511.0 "," 37,073.0 "," (4,784.0)"," 19,204.0 "," 8,817.0 "," 9,044.0 "," 18,977.0 "," 4,982.0 "," 2,877.0 "," 2,502.0 "," 5,357.0 ", 491.8 ,282.34," 138,854.81 "," 41,574 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.039), 0.209 , 0.044 , 0.519 , (0.26), 0.68 , 0.30 , 0.54 , 1.26 , Medium 
BLK,BLACKROCK INC.,Financial,Financial Services, 1.25 , Medium ,2020-03-31,1,2020," 7,501.0 "," 149,020.0 "," 1,840.0 "," 114,510.0 "," 21,872.0 "," 33,013.0 "," 5,661.0 "," 14,539.0 "," 3,710.0 "," 3,346.0 "," 14,903.0 "," 5,551.0 ", 684.0 ," 1,233.0 "," 5,002.0 ", 156.4 ,573.09," 89,640.86 "," 33,070 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.038 , 0.147 , 0.034 , 0.289 , 0.25 , 0.48 , 0.23 , 0.30 , 1.25 , Medium 
REG,REGENCY CENTERS CORP,Financial,REITs, 1.23 , Medium ,2020-03-31,1,2020, 912.8 ," 11,568.3 ", 416.5 ," 5,293.1 "," (1,533.2)"," 6,199.4 ", 496.3 ," 1,133.1 ", 283.7 , 286.3 ," 1,130.5 ", 369.9 , (31.1), 91.8 , 247.0 , 167.9 ,41.81," 7,020.23 "," 6,275 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.043 , (0.133), 0.021 , 1.186 , 0.28 , (0.43), 0.14 , 1.23 , 1.23 , Medium 
NOW,"SERVICENOW, INC.",Services,Technology Services, 1.20 , Medium ,2020-06-30,2,2020," 3,337.1 "," 6,521.3 "," 2,848.9 "," 4,042.5 ", (263.2)," 2,478.8 ", 488.3 ," 3,460.4 "," 2,117.2 "," 1,622.8 "," 3,954.8 ", 42.1 , 111.6 , (42.7), 196.4 , 200.8 ,431.4," 86,643.67 "," 2,479 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.075 , (0.040), 0.030 , 0.613 , 0.49 , (0.13), 0.20 , 0.64 , 1.20 , Medium 
DD,"DUPONT DE NEMOURS, INC.",Resources,Chemicals, 1.18 , Medium ,2020-03-31,1,2020," 10,392.0 "," 67,987.0 "," 8,545.0 "," 27,870.0 "," (9,251.0)"," 39,551.0 "," 1,847.0 "," 21,512.0 "," 5,221.0 "," 5,414.0 "," 21,319.0 ", (43.0), (633.0), (138.0), (538.0), 738.6 ,53.76," 39,707.14 "," 40,117 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.027 , (0.136), (0.008), 1.439 , 0.18 , (0.44), (0.05), 1.50 , 1.18 , Medium 
WEC,"WEC ENERGY GROUP, INC.",Utilities,Infrastructure, 1.14 , Medium ,2020-03-31,1,2020," 1,845.3 "," 34,832.2 "," 2,847.7 "," 24,347.6 "," 6,180.7 "," 10,374.5 "," (1,002.4)"," 7,523.1 "," 2,108.6 "," 2,377.4 "," 7,254.3 "," 1,531.4 ", 626.6 , 542.8 ," 1,615.2 ", 316.7 ,95.19," 30,146.67 "," 10,375 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.029), 0.177 , 0.046 , 0.426 , (0.19), 0.58 , 0.31 , 0.44 , 1.14 , Medium 
OXY,OCCIDENTAL PETROLEUM CORP /DE/,Resources,Energy, 1.14 , Medium ,2020-03-31,1,2020," 14,109.0 "," 101,643.0 "," 11,963.0 "," 70,348.0 "," 17,229.0 "," 31,295.0 "," 2,146.0 "," 20,393.0 "," 6,410.0 "," 4,004.0 "," 22,799.0 "," 1,454.0 ", (918.0), 796.0 , (260.0), 896.7 ,15.77," 14,140.96 "," 31,295 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.021 , 0.170 , (0.003), 0.445 , 0.14 , 0.55 , (0.02), 0.46 , 1.14 , Medium 
WBA,"WALGREENS BOOTS ALLIANCE, INC.",Trade,Retail, 1.11 , Medium ,2020-05-31,3,2020," 18,326.0 "," 86,444.0 "," 26,649.0 "," 65,123.0 "," 34,244.0 "," 20,735.0 "," (8,323.0)"," 136,866.0 "," 104,791.0 "," 102,912.0 "," 138,745.0 "," 4,834.0 ", 663.0 ," 4,120.0 "," 1,377.0 ", 884.7 ,40.64," 35,954.21 "," 21,321 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.096), 0.396 , 0.016 , 0.327 , (0.63), 1.29 , 0.11 , 0.34 , 1.11 , Medium 
DLTR,"DOLLAR TREE, INC.",Trade,Retail, 1.11 , Medium ,2020-05-02,1,2021," 5,165.4 "," 20,471.8 "," 4,504.2 "," 13,951.2 ", -   ," 6,520.6 ", 661.2 ," 23,610.8 "," 6,286.8 "," 5,808.7 "," 24,088.9 "," 1,262.2 ", 365.9 , 385.5 ," 1,242.6 ", 237.4 ,93.95," 22,303.73 "," 6,521 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.032 , -   , 0.061 , 0.467 , 0.21 , -   , 0.41 , 0.49 , 1.11 , Medium 
LNT,ALLIANT ENERGY CORP,Utilities,Infrastructure, 1.11 , Medium ,2020-03-31,1,2020, 912.2 ," 16,879.0 "," 1,650.2 "," 11,176.6 "," 2,833.7 "," 5,702.4 ", (738.0)," 3,647.7 ", 915.7 , 987.2 ," 3,576.2 ", 777.7 , 188.3 , 176.8 , 789.2 , 244.6 ,53.77," 13,152.14 "," 5,702 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.044), 0.168 , 0.047 , 0.510 , (0.29), 0.55 , 0.31 , 0.53 , 1.11 , Medium 
EXC,EXELON CORP,Utilities,Infrastructure, 1.10 , Medium ,2020-03-31,1,2020," 12,476.0 "," 124,677.0 "," 11,774.0 "," 90,061.0 "," 16,475.0 "," 32,482.0 ", 702.0 ," 34,438.0 "," 8,747.0 "," 9,477.0 "," 33,708.0 "," 4,342.0 "," 1,218.0 "," 1,215.0 "," 4,345.0 ", 976.0 ,38.47," 37,546.72 "," 34,616 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.006 , 0.132 , 0.035 , 0.384 , 0.04 , 0.43 , 0.23 , 0.40 , 1.10 , Medium 
IPG,"INTERPUBLIC GROUP OF COMPANIES, INC.",Services,Media, 1.08 , High ,2020-06-30,2,2020," 6,214.3 "," 14,896.9 "," 6,366.5 "," 12,250.6 "," 2,444.3 "," 2,450.4 ", (152.2)," 8,625.1 "," 3,825.5 "," 4,130.7 "," 8,319.9 "," 1,086.0 ", 116.4 , 314.4 , 888.0 , 388.5 ,18.41," 7,152.29 "," 2,491 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.010), 0.164 , 0.060 , 0.203 , (0.07), 0.53 , 0.40 , 0.21 , 1.08 , High 
ESS,"ESSEX PROPERTY TRUST, INC.",Financial,REITs, 1.08 , High ,2020-03-31,1,2020, 515.3 ," 13,450.8 ", 412.8 ," 7,000.2 ", (708.7)," 6,228.2 ", 102.5 ," 1,460.2 ", 392.4 , 356.2 ," 1,496.3 ", 484.4 , 130.9 , 115.7 , 499.6 , 66.2 ,220.62," 14,604.03 "," 6,418 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.008 , (0.053), 0.037 , 0.917 , 0.05 , (0.17), 0.25 , 0.95 , 1.08 , High 
T,AT&T INC.,Utilities,Telecommunications, 1.07 , High ,2020-03-31,1,2020," 52,704.0 "," 545,354.0 "," 69,704.0 "," 349,905.0 "," 58,534.0 "," 177,779.0 "," (17,000.0)"," 181,193.0 "," 42,779.0 "," 44,827.0 "," 179,145.0 "," 27,955.0 "," 7,486.0 "," 7,233.0 "," 28,208.0 "," 7,214.0 ",29.57," 213,317.98 "," 195,449 ", 6.56 , 3.26 , 6.72 , 1.04 , (0.031), 0.107 , 0.052 , 0.559 , (0.20), 0.35 , 0.35 , 0.58 , 1.07 , High 
BXP,BOSTON PROPERTIES INC,Financial,REITs, 1.07 , High ,2020-03-31,1,2020," 1,191.6 "," 21,829.7 ", 665.4 ," 13,403.0 ", (416.7)," 6,047.9 ", 526.2 ," 2,960.6 ", 752.6 , 725.8 ," 2,987.4 "," 1,021.6 ", 271.4 , 250.2 ," 1,042.8 ", 155.3 ,88.27," 13,704.62 "," 8,421 ", 6.56 , 3.26 , 6.72 , 1.04 , 0.024 , (0.019), 0.048 , 0.628 , 0.16 , (0.06), 0.32 , 0.65 , 1.07 , High 
